,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Merge Frequency,Comments Number,Commits number,Stars,Forks,size,contributor,average_additions,average_deletions,average_pr_changed_files,average_pr_commits_count,average_total_comments,merged_average_additions,merged_average_deletions,merged_average_pr_changed_files,merged_average_pr_commits_count,merged_average_total_comments
32,apache/Iceberg,1,11/16/18,5/20/20,2077,1754,11/20/18 17:05,109,37241,2024,2129,814,23991,188,1000.538012,89.91520468,11.71052632,3.675438596,11.9005848,1080.175532,76.74468085,9.907801418,3.586879433,6.329787234
33,apache/Ignite,1,10/1/14,9/18/15,8733,1057,4/24/15 17:29,728,20049,27765,4009,1723,407252,253,2669.757576,96.62626263,21.92929293,11.86868687,0.313131313,55.72727273,10.81818182,2.181818182,1.181818182,0.0
34,apache/Impala,1,12/3/15,11/15/17,22,0,1/27/17 14:45,1,26,9990,712,338,195391,143,137.8571429,34.28571429,12.0,3.285714286,1.0,0.0,0.0,0.0,0.0,0.0
35,apache/IoTDB,1,11/18/18,9/18/20,3817,3285,1/17/19 18:06,166,16015,5361,1642,505,61664,148,581.502706,401.1912207,18.35237523,11.90138304,5.240529164,379.77433,308.461213,13.54795487,8.052186178,1.825105783
36,apache/Johnzon,1,6/9/14,4/20/16,54,35,1/12/15 12:41,2,379,838,37,60,2977,22,18.0,0.5,3.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0
37,apache/Joshua,1,2/13/16,10/17/18,85,74,3/31/16 9:03,3,299,4256,92,64,362742,35,753.9113924,1157.329114,43.70886076,3.367088608,3.620253165,778.9411765,884.1323529,29.07352941,3.308823529,5.382352941
38,apache/Juneau,1,6/24/16,10/18/17,55,50,5/24/17 1:14,3,122,2726,68,39,332880,15,6.333333333,1.333333333,1.333333333,1.0,2.666666667,0.0,0.0,0.0,0.0,0.0
39,apache/Kafka,1,7/4/11,10/23/12,10510,4935,8/14/12 19:28,657,134216,9528,20313,10725,131605,337,35.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
40,apache/Kylin,1,11/25/14,11/18/15,1713,1320,1/16/15 7:22,143,5313,8711,3189,1422,305022,187,84843.23077,14679.15385,273.3076923,69.46153846,1.230769231,434.5,124.0,15.5,1.0,0.0
41,apache/Lens,1,10/10/14,8/19/15,23,5,11/17/14 11:11,2,51,2449,57,98,18225,38,537.6666667,180.1111111,18.0,16.88888889,1.222222222,0.0,0.0,0.0,0.0,0.0
42,apache/Lucene.NET,1,2/5/11,8/15/12,400,293,9/2/11 11:39,21,1713,6373,1689,585,173803,44,68713.25,8850.75,1579.75,33.25,0.25,0.0,0.0,0.0,0.0,0.0
43,apache/MADlib,1,9/15/15,7/19/17,570,158,11/5/15 0:54,25,4265,2953,358,130,19998,50,355.3947368,199.2894737,4.763157895,2.690789474,5.546052632,232.0,97.91666667,2.833333333,1.416666667,3.333333333
44,apache/MetaModel,1,6/12/13,11/20/14,245,77,9/16/14 20:42,14,1802,893,147,142,7220,34,776.75,120.5,11.25,12.75,16.75,162.0,37.0,7.0,8.0,8.0
45,apache/Metron,1,12/6/15,4/19/17,1558,9,12/9/15 19:24,92,14377,1453,832,507,97572,60,1418.063551,819.0672897,30.25420561,8.142056075,9.173831776,7557.833333,1098.833333,155.8333333,2.666666667,20.66666667
46,apache/Mnemonic,1,3/3/16,11/15/17,233,208,3/30/16 5:36,11,139,611,101,59,2991,19,329.7012987,105.6753247,8.194805195,1.519480519,0.571428571,312.8387097,122.9193548,7.612903226,1.032258065,0.35483871
47,apache/mynewt-core,1,10/20/15,6/21/17,2507,2243,2/17/16 0:44,119,6077,10279,679,325,176268,110,4964.567251,746.502924,26.84795322,7.350877193,1.798245614,4372.016461,190.1069959,14.16460905,4.790123457,1.621399177
48,apache/NetBeans,1,10/1/16,4/17/19,3214,2712,9/16/17 17:26,104,14642,6126,1717,647,345316,170,24970.88741,1092.404504,266.9758132,4.30942452,4.509591326,4732.054471,1099.311408,165.5436793,2.43987667,5.469681398
49,apache/NiFi,1,11/24/14,7/15/15,5419,353,12/20/14 3:49,677,34266,6860,2865,2140,190504,318,779.2428571,1148.714286,21.35714286,6.771428571,4.142857143,341.4390244,267.3414634,9.073170732,3.926829268,3.56097561
50,apache/phoenix-omid,1,3/28/16,11/15/19,82,11,6/3/16 20:57,2,208,1315,69,43,4810,17,542.2222222,172.0888889,15.24444444,4.422222222,2.2,1250.5,322.75,26.5,8.625,0.0
51,apache/OpenWhisk,1,11/23/16,7/17/19,3195,2082,2/19/16 19:19,100,29065,2928,5458,1051,68282,188,133.5326252,93.75366717,6.009104704,2.862923622,7.420839656,130.4127747,99.69986264,5.864010989,2.634615385,6.902472527
52,apache/parquet-cpp,1,5/20/14,4/22/15,496,0,10/28/14 19:15,41,4293,502,360,184,2700,28,557.0,388.4285714,8.285714286,2.0,3.285714286,0.0,0.0,0.0,0.0,0.0
