,Project Full Name,Project Status,Project Startdate,Project Enddate,First PR Created Time,PR Number,Merged PR Number,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor,average_additions,average_deletions,average_pr_changed_files,average_pr_commits_count,average_total_comments,merged_average_additions,merged_average_deletions,merged_average_pr_changed_files,merged_average_pr_commits_count,merged_average_pr_comments_count,merged_average_pr_review_coments_count,merged_average_total_comments
43,apache/MADlib,1,9/15/15,7/19/17,11/5/15 0:54,570,158,25,2109,2156,2953,358,130,19998,50,355.3947368,199.2894737,4.763157895,2.690789474,5.546052632,232.0,97.91666667,2.833333333,1.416666667,1.666666667,1.666666667,3.333333333
44,apache/MetaModel,1,6/12/13,11/20/14,9/16/14 20:42,245,77,14,970,832,893,147,142,7220,34,776.75,120.5,11.25,12.75,16.75,162.0,37.0,7.0,8.0,4.0,4.0,8.0
45,apache/Metron,1,12/6/15,4/19/17,12/9/15 19:24,1558,9,92,8763,5614,1453,832,507,97572,60,1418.063551,819.0672897,30.25420561,8.142056075,9.173831776,7557.833333,1098.833333,155.8333333,2.666666667,10.33333333,10.33333333,20.66666667
46,apache/Mnemonic,1,3/3/16,11/15/17,3/30/16 5:36,233,208,11,80,59,611,101,59,2991,19,329.7012987,105.6753247,8.194805195,1.519480519,0.571428571,312.8387097,122.9193548,7.612903226,1.032258065,0.177419355,0.177419355,0.35483871
47,apache/mynewt-core,1,10/20/15,6/21/17,2/17/16 0:44,2507,2243,119,3138,2939,10279,679,325,176268,110,4964.567251,746.502924,26.84795322,7.350877193,1.798245614,4372.016461,190.1069959,14.16460905,4.790123457,0.810699588,0.810699588,1.621399177
48,apache/NetBeans,1,10/1/16,4/17/19,9/16/17 17:26,3214,2712,104,9348,5294,6126,1717,647,345316,170,24970.88741,1092.404504,266.9758132,4.30942452,4.509591326,4732.054471,1099.311408,165.5436793,2.43987667,2.734840699,2.734840699,5.469681398
49,apache/NiFi,1,11/24/14,7/15/15,12/20/14 3:49,5419,353,677,16135,18131,6860,2865,2140,190504,318,779.2428571,1148.714286,21.35714286,6.771428571,4.142857143,341.4390244,267.3414634,9.073170732,3.926829268,1.780487805,1.780487805,3.56097561
50,apache/phoenix-omid,1,3/28/16,11/15/19,6/3/16 20:57,82,11,2,53,155,1315,69,43,4810,17,542.2222222,172.0888889,15.24444444,4.422222222,2.2,1250.5,322.75,26.5,8.625,0.0,0.0,0.0
51,apache/OpenWhisk,1,11/23/16,7/17/19,2/19/16 19:19,3195,2082,100,17539,11526,2928,5458,1051,68282,188,133.5326252,93.75366717,6.009104704,2.862923622,7.420839656,130.4127747,99.69986264,5.864010989,2.634615385,3.451236264,3.451236264,6.902472527
52,apache/parquet-cpp,1,5/20/14,4/22/15,10/28/14 19:15,496,0,41,1812,2481,502,360,184,2700,28,557.0,388.4285714,8.285714286,2.0,3.285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
