,Unnamed: 0,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor,average_additions,average_deletions,average_pr_changed_files,average_pr_commits_count,average_pr_comments_count,average_pr_review_coments_count,average_total_comments,merged_average_additions,merged_average_deletions,merged_average_pr_changed_files,merged_average_pr_commits_count,merged_average_pr_comments_count,merged_average_pr_review_coments_count,merged_average_total_comments
14,16,apache/DataFu,1,1/5/14,2/21/18,7,1,8/5/14 10:01,0,0,22,54,576,84,58,30274,25,172.3333333,4.0,3.0,2.666666667,2.666666667,1.666666667,4.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,17,apache/Deltacloud,1,5/19/10,10/26/11,4,0,5/23/11 13:04,0,0,9,0,2674,73,24,14089,18,15671.0,6586.0,326.0,116.3333333,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,18,apache/DirectMemory,1,10/5/11,8/15/12,1,0,11/26/11 14:59,0,0,0,0,642,51,26,4560,7,6.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,19,apache/DistributedLog,1,6/24/16,7/1/17,184,5,7/25/16 2:12,0,14,524,160,249,169,71,11843,25,804.5037594,226.4511278,23.98496241,3.864661654,2.789473684,0.714285714,3.503759398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,20,apache/DolphinScheduler,1,8/29/19,3/17/21,3541,2943,4/1/19 8:46,0,186,15216,2119,5401,6677,2412,91779,247,1164.402923,813.3528184,23.93653445,23.6091858,1.875574113,0.516492693,2.392066806,648.3634961,500.866838,15.0781491,22.42005141,1.743958869,1.743958869,3.487917738
19,21,apache/Drill,1,8/11/12,11/19/14,2274,561,10/24/12 9:18,0,81,7283,20025,4072,1607,899,130549,145,1609.768116,85.39130435,21.49275362,4.014492754,0.84057971,0.15942029,1.0,1105.857143,42.0,19.85714286,2.285714286,0.142857143,0.142857143,0.285714286
20,22,apache/Druid,1,2/28/18,12/18/19,7545,6619,10/24/12 17:02,0,343,35449,44724,11336,11324,3082,235777,372,841.4356113,363.7452348,24.93444909,5.274291027,2.344490934,5.560204556,7.90469549,369.4701883,192.2724895,17.17887029,3.97332636,2.075313808,2.075313808,4.150627615
21,23,apache/Dubbo,1,2/16/18,5/15/19,4337,2896,7/4/12 7:46,0,289,21672,3753,5181,36425,24263,37456,364,564.9317147,782.8201821,21.52807284,5.407435508,2.247344461,1.44461305,3.691957511,246.1105882,205.2552941,12.24941176,4.123529412,2.344705882,2.344705882,4.689411765
22,24,apache/Eagle,1,10/26/15,12/21/16,994,22,11/18/15 20:13,0,71,1185,401,1050,411,191,35666,30,1573.864,454.3346667,31.94533333,4.913333333,1.168,0.356,1.524,1714.095238,1452.857143,33.0952381,2.19047619,1.428571429,1.428571429,2.857142857
23,26,apache/Falcon,1,3/27/13,12/17/14,403,0,4/29/14 15:58,0,19,940,1441,2227,96,113,31743,28,240.5,27.75,5.75,1.5,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,27,apache/Fineract,1,12/15/15,4/19/17,1953,1453,2/1/16 10:55,0,115,4204,2148,6346,659,898,52004,158,1107.253012,161.876506,22.89759036,2.909638554,0.46686747,0.918674699,1.385542169,370.5052632,73.52105263,9.226315789,1.021052632,0.194736842,0.194736842,0.389473684
25,28,apache/Flink,1,4/14/14,12/17/14,17026,5032,6/10/14 16:51,0,1892,40000,103228,28834,17495,9808,416014,282,1236.649446,558.7822878,27.64944649,6.014760148,4.394833948,2.276752768,6.671586716,4423.545455,3295.5,88.27272727,7.545454545,8.5,8.5,17.0
26,29,apache/Flume,1,6/13/11,6/20/12,228,21,10/30/12 14:17,0,18,681,479,1818,2187,1461,44453,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,30,apache/Fluo,1,5/17/16,7/19/17,529,488,6/19/14 0:47,0,35,1661,1781,1002,169,77,4402,25,188.3518519,140.1574074,12.37962963,1.694444444,1.37037037,3.277777778,4.648148148,173.2346939,140.244898,12.34693878,1.520408163,1.326530612,1.326530612,2.653061224
28,32,apache/Geode,1,4/27/15,11/16/16,7049,5097,5/4/15 20:42,0,371,6714,19052,10718,2004,640,208643,130,15110.36713,4720.699301,89.62937063,5.101398601,1.384615385,0.625874126,2.01048951,50098.76316,1380.842105,147.9736842,1.842105263,1.368421053,1.368421053,2.736842105
29,33,apache/Gobblin,1,2/23/17,1/20/21,3020,1668,2/4/15 20:01,0,64,5692,12327,5874,1988,711,130062,92,2004.841737,158.1960784,18.63655462,2.905462185,1.110644258,3.318627451,4.429271709,8689.793443,579.452459,63.89836066,2.363934426,0.721311475,0.721311475,1.442622951
30,34,apache/Griffin,1,12/5/16,11/21/18,592,8,3/3/17 9:21,0,25,572,400,638,856,530,28267,50,11199.96288,6495.90393,100.7707424,54.70087336,0.334061135,0.334061135,0.668122271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,35,apache/Groovy,1,3/17/15,11/18/15,1628,601,4/19/15 4:14,0,181,3231,928,19017,4329,1638,201734,336,88.65445026,24.37172775,2.90052356,1.785340314,2.753926702,0.340314136,3.094240838,649.5,37.125,5.875,5.375,1.375,1.375,2.75
32,36,apache/guacamole-client,1,2/10/16,11/15/17,621,537,3/29/16 4:10,0,28,1677,2860,5928,891,453,20866,63,580.0242718,441.9271845,14.58252427,4.495145631,2.708737864,5.334951456,8.04368932,607.8877005,481.7272727,15.28342246,4.352941176,2.326203209,2.326203209,4.652406417
33,37,apache/HAWQ,1,9/4/15,8/15/18,1504,381,9/21/15 19:18,0,42,3548,2596,1726,627,310,179541,68,2915.161011,1461.498917,18.84837545,1.907581227,2.39133574,1.826714801,4.218050542,852.2972136,75.19814241,8.20123839,1.083591331,2.080495356,2.080495356,4.160990712
34,38,apache/Hudi,1,1/17/19,5/20/20,2708,2181,12/17/16 3:34,0,159,16836,17402,2048,2449,1074,83036,207,1056.301354,689.8069977,19.64785553,2.922121896,3.348758465,5.378103837,8.726862302,516.2264666,444.6507503,14.73806276,1.803547067,3.061391542,3.061391542,6.122783083
