,Unnamed: 0,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor,average_additions,average_deletions,average_pr_changed_files,average_pr_commits_count,average_pr_comments_count,average_pr_review_coments_count,average_total_comments,merged_average_additions,merged_average_deletions,merged_average_pr_changed_files,merged_average_pr_commits_count,merged_average_pr_comments_count,merged_average_pr_review_coments_count,merged_average_total_comments
93,101,apache/incubator-retired-blur,2,7/24/12,6/22/17,5,0,6/22/14 11:02,0,0,6,4,5242,32,32,53376,15,197.2,34.4,2.0,1.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,102,apache/incubator-retired-concerted,2,10/14/15,4/25/16,3,0,10/25/15 12:46,0,0,4,0,41,9,5,132,3,330.3333333,456.6666667,21.33333333,1.333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,103,apache/incubator-retired-edgent,2,2/29/16,11/20/19,346,324,3/10/16 19:58,0,8,318,242,1398,203,140,25183,18,334.4855491,233.7687861,13.8265896,4.043352601,0.913294798,0.670520231,1.583815029,197.9506173,106.632716,10.32716049,2.083333333,0.737654321,0.737654321,1.475308642
96,104,apache/incubator-retired-gearpump,2,3/8/16,9/19/18,243,3,4/15/16 10:22,0,8,731,411,2251,300,95,22289,26,359.3636364,155.4297521,16.22727273,2.561983471,2.871900826,1.561983471,4.433884298,93.66666667,9.0,2.666666667,1.0,4.666666667,4.666666667,9.333333333
97,105,apache/incubator-retired-gossip,2,4/28/16,8/21/18,68,48,5/29/16 5:05,0,2,74,162,194,234,111,1420,11,871.1029412,87.42647059,11.82352941,1.573529412,1.088235294,2.294117647,3.382352941,277.75,79.4375,11.4375,1.145833333,0.729166667,0.729166667,1.458333333
98,106,apache/incubator-retired-horn,2,9/4/15,7/13/17,31,23,9/24/15 23:13,0,1,13,2,40,28,16,241,3,478.516129,126.5806452,9.580645161,1.483870968,0.419354839,0.064516129,0.483870968,556.0,138.4782609,10.30434783,1.086956522,0.130434783,0.130434783,0.260869565
99,107,apache/incubator-retired-htrace,2,11/11/14,4/11/18,8,2,9/9/15 0:30,0,0,11,10,605,101,65,2769,17,300.875,21.75,3.75,2.125,0.25,0.0,0.25,840.0,1.5,7.5,4.5,0.0,0.0,0.0
100,108,apache/incubator-retired-iota,2,1/20/16,2/15/18,33,27,5/11/16 1:58,0,1,57,3,190,31,31,3449,7,239.3030303,55.27272727,7.212121212,4.424242424,1.515151515,0.0,1.515151515,270.5555556,47.96296296,7.518518519,4.888888889,1.37037037,1.37037037,2.740740741
101,109,apache/incubator-retired-mrql,2,3/13/13,8/17/17,33,31,4/21/15 17:55,0,1,9,0,169,16,15,1282,5,221.5151515,45.15151515,7.333333333,1.060606061,0.242424242,0.0,0.242424242,180.7741935,44.35483871,6.741935484,1.064516129,0.161290323,0.161290323,0.322580645
102,110,apache/incubator-myriad,2,3/1/15,1/24/20,131,29,9/27/15 3:58,0,2,309,263,439,153,73,10766,29,1007.862595,682.0534351,17.09160305,2.694656489,2.007633588,1.618320611,3.625954198,577.4137931,123.2413793,6.827586207,1.275862069,0.862068966,0.862068966,1.724137931
103,111,apache/incubator-retired-openaz,2,1/20/15,8/26/16,4,0,12/3/15 9:07,0,0,12,15,66,15,24,15887,4,15173.33333,388.6666667,263.6666667,1.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,112,apache/incubator-retired-pirk,2,6/17/16,4/17/17,116,2,7/14/16 4:50,0,11,271,219,183,57,24,439565,8,883.4827586,780.1034483,15.77586207,4.948275862,2.293103448,1.827586207,4.120689655,91.5,3.0,2.0,2.0,2.0,2.0,4.0
105,113,apache/incubator-retired-quickstep,2,3/29/16,12/1/18,358,302,4/18/16 5:03,0,11,797,1074,970,85,57,12007,21,470.3910615,1623.307263,21.32681564,1.396648045,2.217877095,2.969273743,5.187150838,393.4801325,1342.572848,18.76821192,1.11589404,2.026490066,2.026490066,4.052980132
106,114,apache/incubator-retired-ripple,2,10/16/12,12/6/15,72,34,5/14/13 23:30,0,2,157,36,1144,170,60,9435,36,34.93055556,12.61111111,2.583333333,1.736111111,2.138888889,0.5,2.638888889,38.02941176,5.911764706,2.323529412,1.088235294,1.705882353,1.705882353,3.411764706
107,115,apache/incubator-s2graph,2,11/29/15,11/29/20,183,86,1/12/16 7:22,0,3,269,58,1681,260,65,14439,15,475.6010929,231.5464481,15.73224044,5.551912568,1.420765027,0.295081967,1.715846995,406.7674419,177.1860465,12.37209302,4.0,0.651162791,0.651162791,1.302325581
108,116,apache/incubator-retired-s4,2,9/26/11,6/19/14,2,0,3/13/12 17:27,0,0,0,0,237,39,18,26686,5,214.0,191.5,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,117,apache/incubator-samoa,2,12/15/14,3/11/21,71,19,1/27/15 12:42,0,1,268,117,118,238,108,6135,18,4351.28169,642.3943662,44.76056338,3.056338028,3.23943662,1.183098592,4.422535211,14306.89474,1910.526316,111.6842105,2.210526316,3.421052632,3.421052632,6.842105263
110,118,apache/Sirona,2,10/15/13,7/3/17,2,0,11/1/13 14:46,0,0,2,0,893,107,55,6825,9,620.0,164.5,45.5,5.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,119,apache/incubator-retired-slider,2,4/29/14,5/24/18,2,0,11/10/14 21:28,0,0,0,1,1974,78,75,16472,8,312.0,2.0,9.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,120,apache/incubator-retired-tamaya,2,11/14/14,4/30/20,53,40,12/6/14 12:24,0,1,55,29,1575,43,34,7630,10,171.1886792,113.490566,11.81132075,1.452830189,1.037735849,0.547169811,1.58490566,99.35,133.275,12.225,1.5,0.85,0.85,1.7
113,121,apache/incubator-retired-wave,2,12/4/10,1/15/18,25,13,1/12/14 18:10,0,0,105,55,406,185,79,200606,12,4057.458333,6334.625,441.2083333,12.45833333,4.166666667,1.791666667,5.958333333,810.3846154,6038.384615,268.7692308,3.923076923,4.153846154,4.153846154,8.307692308
114,122,apache/incubator-weex,2,11/30/16,5/12/21,2382,1712,1/31/17 4:35,0,44,4907,522,12026,14002,1857,282740,196,1681.341053,1291.498526,21.43157895,11.50778947,1.097263158,0.218947368,1.316210526,611.4727592,467.8471002,9.663151728,3.804920914,0.972466315,0.972466315,1.94493263
