,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor,average_additions,average_deletions,average_pr_changed_files,average_pr_commits_count,average_pr_comments_count,average_pr_review_coments_count,average_total_comments,merged_average_additions,merged_average_deletions,merged_average_pr_changed_files,merged_average_pr_commits_count,merged_average_pr_comments_count,merged_average_pr_review_coments_count,merged_average_total_comments
22,apache/Druid,1,2/28/18,12/18/19,7545,6619,10/24/12 17:02,0,0,35449,44724,11336,11324,3082,235777,372,841.4356113435612,363.74523477452345,24.934449093444908,5.274291027429102,2.3444909344490936,5.560204556020456,7.90469549046955,369.4701882845188,192.27248953974896,17.17887029288703,3.973326359832636,2.075313807531381,2.075313807531381,4.150627615062762
23,apache/Dubbo,1,2/16/18,5/15/19,4337,2896,7/4/12 7:46,0,0,21672,3753,5181,36425,24263,37456,364,564.9317147192717,782.8201820940819,21.528072837632777,5.407435508345979,2.2473444613050075,1.4446130500758725,3.6919575113808802,246.11058823529413,205.25529411764705,12.249411764705883,4.123529411764705,2.344705882352941,2.344705882352941,4.689411764705882
24,apache/Eagle,1,10/26/15,12/21/16,994,22,11/18/15 20:13,0,0,1185,401,1050,411,191,35666,30,1573.864,454.3346666666667,31.945333333333334,4.913333333333333,1.168,0.356,1.524,1714.095238095238,1452.857142857143,33.095238095238095,2.1904761904761907,1.4285714285714286,1.4285714285714286,2.857142857142857
26,apache/Falcon,1,3/27/13,12/17/14,403,0,4/29/14 15:58,0,0,940,1441,2227,96,113,31743,28,240.5,27.75,5.75,1.5,1.5,0.0,1.5,0,0,0,0,0,0,0
27,apache/Fineract,1,12/15/15,4/19/17,1953,1453,2/1/16 10:55,0,0,4204,2148,6346,659,898,52004,158,1107.2530120481927,161.8765060240964,22.897590361445783,2.9096385542168677,0.46686746987951805,0.9186746987951807,1.3855421686746987,370.5052631578947,73.52105263157895,9.226315789473684,1.0210526315789474,0.19473684210526315,0.19473684210526315,0.3894736842105263
28,apache/Flink,1,4/14/14,12/17/14,17026,5032,6/10/14 16:51,0,0,40000,103228,28834,17495,9808,416014,282,1236.6494464944649,558.7822878228782,27.649446494464943,6.014760147601476,4.394833948339484,2.2767527675276753,6.671586715867159,4423.545454545455,3295.5,88.27272727272727,7.545454545454546,8.5,8.5,17.0
29,apache/Flume,1,6/13/11,6/20/12,228,21,10/30/12 14:17,0,0,681,479,1818,2187,1461,44453,49,0,0,0,0,0,0,6.671586715867159,0,0,0,0,0,0,0
30,apache/Fluo,1,5/17/16,7/19/17,529,488,6/19/14 0:47,0,0,1661,1781,1002,169,77,4402,25,188.35185185185185,140.15740740740742,12.37962962962963,1.6944444444444444,1.3703703703703705,3.2777777777777777,4.648148148148148,173.23469387755102,140.24489795918367,12.346938775510203,1.5204081632653061,1.3265306122448979,1.3265306122448979,2.6530612244897958
32,apache/Geode,1,4/27/15,11/16/16,7049,5097,5/4/15 20:42,0,0,6714,19052,10718,2004,640,208643,130,15110.367132867133,4720.699300699301,89.62937062937063,5.101398601398602,1.3846153846153846,0.6258741258741258,2.0104895104895104,50098.76315789474,1380.842105263158,147.97368421052633,1.8421052631578947,1.368421052631579,1.368421052631579,2.736842105263158
33,apache/Gobblin,1,2/23/17,1/20/21,3020,1668,2/4/15 20:01,0,0,5692,12327,5874,1988,711,130062,92,2004.8417366946778,158.19607843137254,18.636554621848738,2.9054621848739495,1.1106442577030813,3.3186274509803924,4.429271708683474,8689.793442622951,579.4524590163934,63.898360655737704,2.363934426229508,0.7213114754098361,0.7213114754098361,1.4426229508196722
34,apache/Griffin,1,12/5/16,11/21/18,592,8,3/3/17 9:21,0,0,572,400,638,856,530,28267,50,11199.96288209607,6495.903930131004,100.7707423580786,54.700873362445414,0.33406113537117904,0.33406113537117904,0.6681222707423581,0,0,0,0,0,0,0
35,apache/Groovy,1,3/17/15,11/18/15,1628,601,4/19/15 4:14,0,0,3231,928,19017,4329,1638,201734,336,88.6544502617801,24.3717277486911,2.900523560209424,1.7853403141361257,2.7539267015706805,0.3403141361256545,3.094240837696335,649.5,37.125,5.875,5.375,1.375,1.375,2.75
36,apache/guacamole-client,1,2/10/16,11/15/17,621,537,3/29/16 4:10,0,0,1677,2860,5928,891,453,20866,63,580.0242718446602,441.9271844660194,14.58252427184466,4.495145631067961,2.70873786407767,5.334951456310679,8.04368932038835,607.8877005347593,481.72727272727275,15.283422459893048,4.352941176470588,2.3262032085561497,2.3262032085561497,4.652406417112299
37,apache/HAWQ,1,9/4/15,8/15/18,1504,381,9/21/15 19:18,0,0,3548,2596,1726,627,310,179541,68,2915.161010830325,1461.498916967509,18.84837545126354,1.9075812274368231,2.391335740072202,1.8267148014440433,4.218050541516245,852.297213622291,75.19814241486068,8.201238390092879,1.08359133126935,2.0804953560371517,2.0804953560371517,4.1609907120743035
38,apache/Hudi,1,1/17/19,5/20/20,2708,2181,12/17/16 3:34,0,0,16836,17402,2048,2449,1074,83036,207,1056.3013544018058,689.8069977426636,19.64785553047404,2.9221218961625284,3.3487584650112865,5.378103837471783,8.72686230248307,516.2264665757162,444.6507503410641,14.73806275579809,1.8035470668485676,3.0613915416098227,3.0613915416098227,6.1227830832196455
39,apache/Iceberg,1,11/16/18,5/20/20,2077,1754,11/20/18 17:05,0,0,12580,24661,2024,2129,814,23991,188,1000.5380116959064,89.91520467836257,11.710526315789474,3.675438596491228,3.473684210526316,8.426900584795321,11.900584795321638,1080.1755319148936,76.74468085106383,9.907801418439716,3.5868794326241136,3.1648936170212765,3.1648936170212765,6.329787234042553
40,apache/Ignite,1,10/1/14,9/18/15,8733,1057,4/24/15 17:29,0,0,2806,17243,27765,4009,1723,407252,253,2669.757575757576,96.62626262626263,21.92929292929293,11.868686868686869,0.30303030303030304,0.010101010101010102,0.31313131313131315,55.72727272727273,10.818181818181818,2.1818181818181817,1.1818181818181819,0.0,0.0,0.0
41,apache/Impala,1,12/3/15,11/15/17,22,0,1/27/17 14:45,0,0,26,0,9990,712,338,195391,143,137.85714285714286,34.285714285714285,12.0,3.2857142857142856,1.0,0.0,1.0,0,0,0,0,0,0,0
42,apache/IoTDB,1,11/18/18,9/18/20,3817,3285,1/17/19 18:06,0,0,4891,11124,5361,1642,505,61664,148,581.5027059530968,401.19122068550814,18.35237522549609,11.901383042693926,0.9200240529164161,4.320505111244739,5.240529164161154,379.7743300423131,308.4612129760226,13.547954866008462,8.052186177715091,0.9125528913963329,0.9125528913963329,1.8251057827926658
43,apache/Johnzon,1,6/9/14,4/20/16,54,35,1/12/15 12:41,0,0,266,113,838,37,60,2977,22,18.0,0.5,3.5,1.0,2.0,0.0,2.0,0,0,0,0,0,0,0
44,apache/Joshua,1,2/13/16,10/17/18,85,74,3/31/16 9:03,0,0,241,58,4256,92,64,362742,35,753.9113924050633,1157.3291139240507,43.70886075949367,3.367088607594937,2.8860759493670884,0.7341772151898734,3.620253164556962,778.9411764705883,884.1323529411765,29.073529411764707,3.3088235294117645,2.6911764705882355,2.6911764705882355,5.382352941176471
45,apache/Juneau,1,6/24/16,10/18/17,55,50,5/24/17 1:14,0,0,103,19,2726,68,39,332880,15,6.333333333333333,1.3333333333333333,1.3333333333333333,1.0,0.0,2.6666666666666665,2.6666666666666665,0,0,0,0,0,0,0
46,apache/Kafka,1,7/4/11,10/23/12,10510,4935,8/14/12 19:28,0,0,40000,94216,9528,20313,10725,131605,337,35.0,4.0,2.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0
47,apache/Knox,1,2/22/13,2/19/14,491,419,10/13/14 5:31,0,0,549,1761,2558,125,200,20808,59,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
48,apache/Kylin,1,11/25/14,11/18/15,1713,1320,1/16/15 7:22,0,0,4348,965,8711,3189,1422,305022,187,84843.23076923077,14679.153846153846,273.3076923076923,69.46153846153847,1.2307692307692308,0.0,1.2307692307692308,434.5,124.0,15.5,1.0,0.0,0.0,0.0
49,apache/Lens,1,10/10/14,8/19/15,23,5,11/17/14 11:11,0,0,8,43,2449,57,98,18225,38,537.6666666666666,180.11111111111111,18.0,16.88888888888889,0.3333333333333333,0.8888888888888888,1.222222222222222,0,0,0,0,0,0,0
51,apache/Lucene.NET,1,2/5/11,8/15/12,400,293,9/2/11 11:39,0,0,1319,394,6373,1689,585,173803,44,68713.25,8850.75,1579.75,33.25,0.25,0.0,0.25,0,0,0,0,0,0,0
52,apache/Lucy,1,7/22/10,2/22/12,54,42,9/21/12 22:17,0,0,17,6,3261,93,27,15711,11,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
53,apache/MADlib,1,9/15/15,7/19/17,570,158,11/5/15 0:54,0,0,2109,2156,2953,358,130,19998,50,355.39473684210526,199.28947368421052,4.7631578947368425,2.6907894736842106,2.6447368421052633,2.901315789473684,5.546052631578947,232.0,97.91666666666667,2.8333333333333335,1.4166666666666667,1.6666666666666667,1.6666666666666667,3.3333333333333335
54,apache/Mesos,1,12/23/10,6/19/13,389,44,8/7/13 20:19,0,0,702,422,18143,4805,1706,404191,306,0,0,0,0,0,0,5.546052631578947,0,0,0,0,0,0,0
55,apache/MetaModel,1,6/12/13,11/20/14,245,77,9/16/14 20:42,0,0,970,832,893,147,142,7220,34,776.75,120.5,11.25,12.75,3.0,13.75,16.75,162.0,37.0,7.0,8.0,4.0,4.0,8.0
