,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor,average_additions,average_deletions,average_pr_changed_files,average_pr_commits_count,average_pr_comments_count,average_pr_review_coments_count,average_total_comments,merged_average_additions,merged_average_deletions,merged_average_pr_changed_files,merged_average_pr_commits_count,merged_average_pr_comments_count,merged_average_pr_review_coments_count,merged_average_total_comments
96,apache/Usergrid,1,10/3/13,8/19/15,599,465,11/25/13 17:57,0,0,396,280,10954,997,438,383452,78,2827.712250712251,2360.954415954416,39.60683760683761,24.455840455840455,0.7008547008547008,0.5014245014245015,1.2022792022792022,1684.3256704980843,2572.1609195402298,22.38314176245211,9.773946360153257,0.6130268199233716,0.6130268199233716,1.2260536398467432
97,apache/Whirr,1,5/11/10,8/17/11,3,0,12/18/11 18:26,0,0,7,0,569,95,60,9902,10,0,0,0,0,0,0,1.2022792022792022,0,0,0,0,0,0,0
98,apache/Zeppelin,1,12/23/14,5/18/16,4177,26,3/25/15 9:03,0,0,22005,7649,5011,5474,2560,98711,322,369.8955056179775,95.62022471910112,8.58876404494382,5.239325842696629,6.452808988764045,1.5820224719101124,8.034831460674157,0,0,0,0,0,0,0
99,apache/incubator-retired-amaterasu,2,9/7/17,9/18/19,58,47,10/30/17 6:10,0,0,24,62,811,56,25,4663,16,430.57894736842104,398.7368421052632,25.228070175438596,10.631578947368421,0.3684210526315789,0.9649122807017544,1.3333333333333333,404.32608695652175,380.1304347826087,24.47826086956522,11.26086956521739,0.21739130434782608,0.21739130434782608,0.43478260869565216
100,apache/incubator-ariatosca,2,8/27/16,7/1/18,229,170,10/18/16 8:32,0,0,210,1468,190,28,46,1745,12,613.6331877729258,260.75545851528386,15.096069868995633,1.1877729257641922,0.9126637554585153,6.4104803493449785,7.323144104803494,497.31176470588235,208.5,14.288235294117648,1.0235294117647058,0.888235294117647,0.888235294117647,1.776470588235294
101,apache/incubator-retired-blur,2,7/24/12,6/22/17,5,0,6/22/14 11:02,0,0,6,4,5242,32,32,53376,15,197.2,34.4,2.0,1.2,1.0,0.0,1.0,0,0,0,0,0,0,0
102,apache/incubator-retired-concerted,2,10/14/15,4/25/16,3,0,10/25/15 12:46,0,0,4,0,41,9,5,132,3,330.3333333333333,456.6666666666667,21.333333333333332,1.3333333333333333,1.0,0.0,1.0,0,0,0,0,0,0,0
103,apache/incubator-retired-edgent,2,2/29/16,11/20/19,346,324,3/10/16 19:58,0,0,318,242,1398,203,140,25183,18,334.485549132948,233.76878612716763,13.826589595375722,4.043352601156069,0.9132947976878613,0.6705202312138728,1.583815028901734,197.9506172839506,106.63271604938272,10.32716049382716,2.0833333333333335,0.7376543209876543,0.7376543209876543,1.4753086419753085
104,apache/incubator-retired-gearpump,2,3/8/16,9/19/18,243,3,4/15/16 10:22,0,0,731,411,2251,300,95,22289,26,359.3636363636364,155.4297520661157,16.227272727272727,2.56198347107438,2.871900826446281,1.56198347107438,4.433884297520661,93.66666666666667,9.0,2.6666666666666665,1.0,4.666666666666667,4.666666666666667,9.333333333333334
105,apache/incubator-retired-gossip,2,4/28/16,8/21/18,68,48,5/29/16 5:05,0,0,74,162,194,234,111,1420,11,871.1029411764706,87.42647058823529,11.823529411764707,1.5735294117647058,1.088235294117647,2.2941176470588234,3.38235294117647,277.75,79.4375,11.4375,1.1458333333333333,0.7291666666666666,0.7291666666666666,1.4583333333333333
106,apache/incubator-retired-horn,2,9/4/15,7/13/17,31,23,9/24/15 23:13,0,0,13,2,40,28,16,241,3,478.51612903225805,126.58064516129032,9.580645161290322,1.4838709677419355,0.41935483870967744,0.06451612903225806,0.4838709677419355,556.0,138.47826086956522,10.304347826086957,1.0869565217391304,0.13043478260869565,0.13043478260869565,0.2608695652173913
107,apache/incubator-retired-htrace,2,11/11/14,4/11/18,8,2,9/9/15 0:30,0,0,11,10,605,101,65,2769,17,300.875,21.75,3.75,2.125,0.25,0.0,0.25,840.0,1.5,7.5,4.5,0.0,0.0,0.0
108,apache/incubator-retired-iota,2,1/20/16,2/15/18,33,27,5/11/16 1:58,0,0,57,3,190,31,31,3449,7,239.3030303030303,55.27272727272727,7.212121212121212,4.424242424242424,1.5151515151515151,0.0,1.5151515151515151,270.55555555555554,47.96296296296296,7.518518518518518,4.888888888888889,1.3703703703703705,1.3703703703703705,2.740740740740741
109,apache/incubator-retired-mrql,2,3/13/13,8/17/17,33,31,4/21/15 17:55,0,0,9,0,169,16,15,1282,5,221.5151515151515,45.15151515151515,7.333333333333333,1.0606060606060606,0.24242424242424243,0.0,0.24242424242424243,180.7741935483871,44.354838709677416,6.741935483870968,1.064516129032258,0.16129032258064516,0.16129032258064516,0.3225806451612903
110,apache/incubator-myriad,2,3/1/15,1/24/20,131,29,9/27/15 3:58,0,0,309,263,439,153,73,10766,29,1007.8625954198474,682.0534351145038,17.091603053435115,2.6946564885496183,2.0076335877862594,1.618320610687023,3.6259541984732824,577.4137931034483,123.24137931034483,6.827586206896552,1.2758620689655173,0.8620689655172413,0.8620689655172413,1.7241379310344827
111,apache/incubator-retired-openaz,2,1/20/15,8/26/16,4,0,12/3/15 9:07,0,0,12,15,66,15,24,15887,4,15173.333333333334,388.6666666666667,263.6666666666667,1.3333333333333333,0.0,0.0,0.0,0,0,0,0,0,0,0
112,apache/incubator-retired-pirk,2,6/17/16,4/17/17,116,2,7/14/16 4:50,0,0,271,219,183,57,24,439565,8,883.4827586206897,780.1034482758621,15.775862068965518,4.948275862068965,2.293103448275862,1.8275862068965518,4.120689655172414,91.5,3.0,2.0,2.0,2.0,2.0,4.0
113,apache/incubator-retired-quickstep,2,3/29/16,12/1/18,358,302,4/18/16 5:03,0,0,797,1074,970,85,57,12007,21,470.39106145251395,1623.3072625698323,21.3268156424581,1.3966480446927374,2.217877094972067,2.96927374301676,5.187150837988828,393.4801324503311,1342.5728476821191,18.7682119205298,1.1158940397350994,2.0264900662251657,2.0264900662251657,4.052980132450331
114,apache/incubator-retired-ripple,2,10/16/12,12/6/15,72,34,5/14/13 23:30,0,0,157,36,1144,170,60,9435,36,34.93055555555556,12.61111111111111,2.5833333333333335,1.7361111111111112,2.138888888888889,0.5,2.638888888888889,38.029411764705884,5.911764705882353,2.323529411764706,1.088235294117647,1.7058823529411764,1.7058823529411764,3.411764705882353
115,apache/incubator-s2graph,2,11/29/15,11/29/20,183,86,1/12/16 7:22,0,0,269,58,1681,260,65,14439,15,475.60109289617486,231.54644808743168,15.73224043715847,5.551912568306011,1.4207650273224044,0.29508196721311475,1.7158469945355193,406.7674418604651,177.1860465116279,12.372093023255815,4.0,0.6511627906976745,0.6511627906976745,1.302325581395349
116,apache/incubator-retired-s4,2,9/26/11,6/19/14,2,0,3/13/12 17:27,0,0,0,0,237,39,18,26686,5,214.0,191.5,7.0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,0
117,apache/incubator-samoa,2,12/15/14,3/11/21,71,19,1/27/15 12:42,0,0,268,117,118,238,108,6135,18,4351.281690140845,642.3943661971831,44.76056338028169,3.056338028169014,3.23943661971831,1.1830985915492958,4.422535211267606,14306.894736842105,1910.5263157894738,111.6842105263158,2.210526315789474,3.4210526315789473,3.4210526315789473,6.842105263157895
118,apache/Sirona,2,10/15/13,7/3/17,2,0,11/1/13 14:46,0,0,2,0,893,107,55,6825,9,620.0,164.5,45.5,5.5,1.0,0.0,1.0,0,0,0,0,0,0,0
119,apache/incubator-retired-slider,2,4/29/14,5/24/18,2,0,11/10/14 21:28,0,0,0,1,1974,78,75,16472,8,312.0,2.0,9.0,22.5,0.0,0.0,0.0,0,0,0,0,0,0,0
120,apache/incubator-retired-tamaya,2,11/14/14,4/30/20,53,40,12/6/14 12:24,0,0,55,29,1575,43,34,7630,10,171.18867924528303,113.49056603773585,11.81132075471698,1.4528301886792452,1.0377358490566038,0.5471698113207547,1.5849056603773586,99.35,133.275,12.225,1.5,0.85,0.85,1.7
121,apache/incubator-retired-wave,2,12/4/10,1/15/18,25,13,1/12/14 18:10,0,0,105,55,406,185,79,200606,12,4057.4583333333335,6334.625,441.2083333333333,12.458333333333334,4.166666666666667,1.7916666666666667,5.958333333333334,810.3846153846154,6038.384615384615,268.7692307692308,3.923076923076923,4.153846153846154,4.153846153846154,8.307692307692308
122,apache/incubator-weex,2,11/30/16,5/12/21,2382,1712,1/31/17 4:35,0,0,4907,522,12026,14002,1857,282740,196,1681.341052631579,1291.4985263157894,21.431578947368422,11.50778947368421,1.097263157894737,0.21894736842105264,1.3162105263157895,611.4727592267135,467.8471001757469,9.66315172817809,3.804920913884007,0.9724663151728178,0.9724663151728178,1.9449326303456356
