,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor
51,apache/Lucene.NET,1,2/5/11,8/15/12,400,293,9/2/11 11:39,0,0,1319,394,6373,1689,585,173803,44
52,apache/Lucy,1,7/22/10,2/22/12,54,42,9/21/12 22:17,0,0,17,6,3261,93,27,15711,11
53,apache/MADlib,1,9/15/15,7/19/17,570,158,11/5/15 0:54,0,0,2109,2156,2953,358,130,19998,50
54,apache/Mesos,1,12/23/10,6/19/13,389,44,8/7/13 20:19,0,0,702,422,18143,4805,1706,404191,306
55,apache/MetaModel,1,6/12/13,11/20/14,245,77,9/16/14 20:42,0,0,970,832,893,147,142,7220,34
56,apache/Metron,1,12/6/15,4/19/17,1558,9,12/9/15 19:24,0,0,8763,5614,1453,832,507,97572,60
57,apache/Mnemonic,1,3/3/16,11/15/17,233,208,3/30/16 5:36,0,0,80,59,611,101,59,2991,19
58,apache/mynewt-core,1,10/20/15,6/21/17,2507,2243,2/17/16 0:44,0,0,3138,2939,10279,679,325,176268,110
59,apache/NetBeans,1,10/1/16,4/17/19,3214,2712,9/16/17 17:26,0,0,9348,5294,6126,1717,647,345316,170
60,apache/NiFi,1,11/24/14,7/15/15,5419,353,12/20/14 3:49,0,0,16135,18131,6860,2865,2140,190504,318
61,apache/olingo-odata4,1,7/8/13,3/19/14,40,21,8/8/14 23:58,0,0,59,15,1895,116,155,53661,25
62,apache/phoenix-omid,1,3/28/16,11/15/19,82,11,6/3/16 20:57,0,0,53,155,1315,69,43,4810,17
63,apache/climate,1,2/15/13,2/19/14,527,451,3/8/14 21:01,0,0,1925,101,2241,134,112,35741,24
64,apache/OpenWhisk,1,11/23/16,7/17/19,3195,2082,2/19/16 19:19,0,0,17539,11526,2928,5458,1051,68282,188
65,apache/parquet-cpp,1,5/20/14,4/22/15,496,0,10/28/14 19:15,0,0,1812,2481,502,360,184,2700,28
66,apache/Phoenix,1,12/11/13,5/21/14,1083,303,7/4/14 10:53,0,0,3374,8233,3573,904,922,72459,109
67,apache/Pinot,1,10/17/18,7/21/21,6488,5927,11/10/14 22:32,0,0,11092,28950,8339,3651,784,229062,187
