,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor
223,apache/incubator-retired-openaz,2,2015/1/20,2016/8/26,0,0,,0,0,0,0,0,0,0,0,0
224,apache/PhotArk,2,2008/8/19,2012/12/29,0,0,,0,0,0,0,0,0,0,0,0
225,apache/incubator-retired-pirk,2,2016/6/17,2017/4/17,0,0,,0,0,0,0,0,0,0,0,0
226,apache/incubator-retired-provisionr,2,2013/3/7,2013/11/22,0,0,,0,0,0,0,0,0,0,0,0
227,apache/incubator-retired-quickstep,2,2016/3/29,2018/12/1,0,0,,0,0,0,0,0,0,0,0,0
228,apache/incubator-retired-ripple,2,2012/10/16,2015/12/6,0,0,,0,0,0,0,0,0,0,0,0
229,apache/incubator-s2graph,2,2015/11/29,2020/11/29,0,0,,0,0,0,0,0,0,0,0,0
230,apache/incubator-retired-s4,2,2011/9/26,2014/6/19,0,0,,0,0,0,0,0,0,0,0,0
231,apache/incubator-samoa,2,2014/12/15,2021/3/11,0,0,,0,0,0,0,0,0,0,0,0
232,apache/Sirona,2,2013/10/15,2017/7/3,0,0,,0,0,0,0,0,0,0,0,0
233,apache/incubator-retired-slider,2,2014/4/29,2018/5/24,0,0,,0,0,0,0,0,0,0,0,0
234,apache/incubator-retired-tamaya,2,2014/11/14,2020/4/30,0,0,,0,0,0,0,0,0,0,0,0
235,apache/Tashi,2,2008/9/4,2012/10/2,0,0,,0,0,0,0,0,0,0,0,0
236,apache/incubator-retired-wave,2,2010/12/4,2018/1/15,0,0,,0,0,0,0,0,0,0,0,0
237,apache/incubator-weex,2,2016/11/30,2021/5/12,0,0,,0,0,0,0,0,0,0,0,0
238,apache/Zipkin,2,2018/8/29,2019/6/19,0,0,,0,0,0,0,0,0,0,0,0
