,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor
49,apache/DistributedLog,1,2016/6/24,2017/7/1,184,0,2016-07-25 02:12:50,0,0,524,160,249,169,71,11843,25
50,apache/DolphinScheduler,1,2019/8/29,2021/3/17,3538,0,2019-04-01 08:46:38,0,0,15180,2113,5399,6672,2410,91733,247
51,apache/Drill,1,2012/8/11,2014/11/19,2274,0,2012-10-24 09:18:55,0,0,7280,20017,4072,1607,899,130549,145
52,apache/Druid,1,2018/2/28,2019/12/18,7541,0,2012-10-24 17:02:47,0,0,0,0,0,0,0,235690,372
53,apache/Dubbo,1,2018/2/16,2019/5/15,4334,0,2012-07-04 07:46:32,0,0,21656,3752,5179,36423,24260,37440,364
54,apache/Eagle,1,2015/10/26,2016/12/21,994,0,2015-11-18 20:13:17,0,0,1185,401,1050,411,191,35666,30
55,apache/ECharts,1,2018/1/18,2020/12/16,1163,0,2013-06-03 03:49:34,0,0,40000,1209,8195,40000,18236,212982,145
56,apache/Empire-db,1,2008/7/8,2012/1/24,3,0,2015-05-13 13:35:26,0,0,4,1,1237,28,24,13664,5
57,apache/ESME,1,2008/12/2,2010/12/15,0,0,,0,0,0,0,662,14,11,3382,2
58,apache/Etch,1,2008/9/2,2013/1/16,0,0,,0,0,0,0,549,16,8,13740,1
59,apache/Falcon,1,2013/3/27,2014/12/17,403,0,2014-04-29 15:58:45,0,0,940,1441,2227,96,113,31743,28
60,apache/Felix,1,2005/7/19,2007/4/1,164,0,2011-04-20 02:05:51,0,0,165,16,15556,282,333,96620,29
61,apache/Fineract,1,2015/12/15,2017/4/19,1953,0,2016-02-01 10:55:29,0,0,4204,2148,6346,659,898,52004,158
62,apache/Flink,1,2014/4/14,2014/12/17,17010,0,2014-06-10 16:51:08,0,0,0,0,0,0,0,415939,282
63,apache/Flume,1,2011/6/13,2012/6/20,228,0,2012-10-30 14:17:08,0,0,681,479,1818,2187,1461,44453,49
64,apache/Fluo,1,2016/5/17,2017/7/19,529,0,2014-06-19 00:47:57,0,0,1661,1781,1002,168,76,4402,25
65,apache/FreeMarker,1,2015/7/1,2018/3/21,67,0,2015-10-11 02:36:50,0,0,108,12,2292,707,209,17691,29
66,apache/FtpServer,1,2003/3/29,2007/12/18,3,0,2013-08-28 10:11:19,0,0,3,0,977,68,53,10122,4
67,apache/Geode,1,2015/4/27,2016/11/16,7043,0,2015-05-04 20:42:43,0,0,6710,19050,10714,2004,640,208593,130
68,apache/Geronimo,1,2003/8/6,2004/5/26,1,0,2018-02-23 20:52:43,0,0,1,0,13137,32,22,167708,16
69,apache/Giraph,1,2011/8/1,2012/5/16,123,0,2013-08-15 18:42:50,0,0,85,214,1136,581,293,26906,27
70,apache/Gobblin,1,2017/2/23,2021/1/20,3019,0,2015-02-04 20:01:50,0,0,5692,12327,5873,1987,711,130057,92
71,apache/Gora,1,2010/9/26,2012/1/15,227,0,2014-06-05 08:00:18,0,0,646,939,1387,101,116,11892,42
72,apache/Griffin,1,2016/12/5,2018/11/21,592,0,2017-03-03 09:21:22,0,0,572,400,638,855,530,28267,50
73,apache/Groovy,1,2015/3/17,2015/11/18,1628,0,2015-04-19 04:14:24,0,0,3231,928,19017,4329,1636,201726,336
74,apache/guacamole-client,1,2016/2/10,2017/11/15,621,0,2016-03-29 04:10:58,0,0,1677,2860,5928,891,453,20866,63
75,apache/Hama,1,2008/5/20,2012/5/16,18,0,2013-05-16 13:10:24,0,0,3,0,1595,130,74,60551,15
76,apache/Harmony,1,2005/5/18,2006/10/29,0,0,,0,0,0,0,956,68,36,57816,1
77,apache/HAWQ,1,2015/9/4,2018/8/15,1504,0,2015-09-21 19:18:12,0,0,3548,2596,1726,627,309,179541,68
78,apache/HCatalog,1,2011/3/14,2013/2/13,0,0,,0,0,0,0,425,59,47,3756,3
79,apache/Helix,1,2012/10/14,2013/12/18,1087,0,2014-07-25 11:57:17,0,0,2344,10982,4112,349,175,90408,38
80,apache/Hudi,1,2019/1/17,2020/5/20,2701,0,2016-12-17 03:34:28,0,0,16815,17369,2042,2444,1068,82106,207
81,apache/Iceberg,1,2018/11/16,2020/5/20,2073,0,2018-11-20 17:05:38,0,0,12549,24602,2022,2124,813,23994,188
82,apache/Ignite,1,2014/10/1,2015/9/18,8730,0,2015-04-24 17:29:00,0,0,2805,17243,27762,4009,1723,407225,252
83,apache/Impala,1,2015/12/3,2017/11/15,22,0,2017-01-27 14:45:31,0,0,26,0,9990,712,338,195391,143
84,apache/IoTDB,1,2018/11/18,2020/9/18,3814,0,2019-01-17 18:06:23,0,0,4889,11123,5360,1642,505,61469,148
85,apache/Isis,1,2010/9/7,2012/10/17,758,0,2013-12-03 10:29:30,0,0,358,202,18432,659,269,315494,42
86,apache/Jackrabbit,1,2004/8/28,2006/3/15,42,0,2011-08-11 15:45:46,0,0,54,96,8916,281,188,60101,26
87,apache/jclouds,1,2013/4/29,2013/10/16,108,0,2016-07-19 13:50:59,0,0,304,123,10677,117,98,79051,220
88,apache/Jena,1,2010/11/23,2012/4/18,1101,0,2013-04-07 14:03:15,0,0,2399,1858,9374,778,537,421689,72
89,apache/Johnzon,1,2014/6/9,2016/4/20,54,0,2015-01-12 12:41:58,0,0,266,113,838,37,60,2977,22
90,apache/Joshua,1,2016/2/13,2018/10/17,85,0,2016-03-31 09:03:12,0,0,241,58,4256,92,64,362742,35
91,apache/JSPWiki,1,2007/9/17,2013/7/19,142,0,2018-05-25 11:35:29,0,0,120,30,8992,78,81,72963,15
92,apache/jUDDI,1,2003/9/15,2004/3/17,3,0,2018-07-29 22:51:55,0,0,1,0,2934,15,18,134128,7
93,apache/Juneau,1,2016/6/24,2017/10/18,55,0,2017-05-24 01:14:08,0,0,103,19,2726,68,39,332880,15
94,apache/Kafka,1,2011/7/4,2012/10/23,10509,0,2012-08-14 19:28:35,0,0,0,0,0,0,0,131590,337
95,apache/Knox,1,2013/2/22,2014/2/19,491,0,2014-10-13 05:31:37,0,0,549,1761,2558,125,200,20808,59
96,apache/Kudu,1,2015/12/3,2016/7/20,24,0,2017-05-18 14:35:45,0,0,29,0,9542,1495,530,76484,112
97,apache/Kylin,1,2014/11/25,2015/11/18,1711,0,2015-01-16 07:22:48,0,0,4346,965,8709,3189,1422,305009,187
98,apache/Lens,1,2014/10/10,2015/8/19,23,0,2014-11-17 11:11:07,0,0,8,43,2449,57,98,18225,38
99,apache/Lenya,1,2003/3/15,2004/8/18,0,0,,0,0,0,0,10657,16,9,165116,5
100,apache/Libcloud,1,2009/11/1,2011/5/19,1475,0,2010-09-09 19:27:49,0,0,5360,2468,8772,1800,904,28310,316
101,apache/log4cxx,1,2004/1/31,2005/1/11,0,0,,0,0,0,0,0,0,0,0,0
102,apache/Lucene.NET,1,2011/2/5,2012/8/15,400,0,2011-09-02 11:39:48,0,0,1319,394,6373,1689,585,173803,44
103,apache/Lucy,1,2010/7/22,2012/2/22,54,0,2012-09-21 22:17:56,0,0,17,6,3261,93,27,15711,11
104,apache/MADlib,1,2015/9/15,2017/7/19,570,0,2015-11-05 00:54:47,0,0,2109,2156,2953,358,130,19998,50
105,apache/ManifoldCF,1,2010/1/10,2012/5/16,20,0,2014-04-02 14:54:09,0,0,23,8,4923,66,59,163645,11
106,apache/Marmotta,1,2012/12/3,2013/11/20,29,0,2014-02-10 08:02:25,0,0,27,11,2276,49,54,21517,14
107,apache/Mesos,1,2010/12/23,2013/6/19,389,0,2013-08-07 20:19:24,0,0,702,422,18143,4805,1706,404191,306
108,apache/MetaModel,1,2013/6/12,2014/11/20,245,0,2014-09-16 20:42:00,0,0,970,832,893,147,142,7220,34
109,apache/Metron,1,2015/12/6,2017/4/19,1558,0,2015-12-09 19:24:18,0,0,8763,5614,1453,832,507,97572,60
110,apache/Mnemonic,1,2016/3/3,2017/11/15,233,0,2016-03-30 05:36:06,0,0,80,59,611,101,59,2991,19
111,apache/MRUnit,1,2011/3/8,2012/5/16,0,0,,0,0,0,0,234,36,26,1038,10
112,apache/MyFaces,1,2004/7/16,2005/3/9,223,0,2018-05-29 15:13:10,0,0,241,10,5643,75,52,66847,32
113,apache/mynewt-core,1,2015/10/20,2017/6/21,2507,0,2016-02-17 00:44:47,0,0,3135,2939,10279,679,325,176268,110
114,apache/NetBeans,1,2016/10/1,2019/4/17,3212,0,2017-09-16 17:26:22,0,0,9343,5294,6126,1716,647,345302,170
115,apache/NiFi,1,2014/11/24,2015/7/15,5419,0,2014-12-20 03:49:37,0,0,16135,18131,6860,2860,2142,190504,318
116,apache/Nutch,1,2005/1/15,2005/6/1,672,0,2012-09-08 19:34:55,0,0,1094,713,3225,2261,1178,136572,45
117,apache/Nuvem,1,2010/6/24,2012/11/29,0,0,,0,0,0,0,138,1,4,400,3
118,apache/Ode,1,2006/2/17,2007/7/18,6,0,2014-07-07 14:04:32,0,0,1,0,3823,42,64,21659,11
119,apache/OFBiz,1,2006/1/31,2006/12/20,15,0,2015-04-02 20:45:46,0,0,5,0,24427,729,557,892930,20
120,apache/commons-ognl,1,2011/4/26,2011/8/30,51,0,2018-06-08 17:09:01,0,0,36,6,758,61,34,1786,12
121,apache/olingo-odata4,1,2013/7/8,2014/3/19,40,0,2014-08-08 23:58:16,0,0,59,15,1895,116,155,53661,25
122,apache/phoenix-omid,1,2016/3/28,2019/11/15,82,0,2016-06-03 20:57:08,0,0,53,155,1315,69,43,4810,17
123,apache/Onami,1,2012/11/14,2013/4/17,0,0,,0,0,0,0,744,1,2,1643,5
124,apache/OODT,1,2010/1/21,2010/11/17,116,0,2014-01-30 04:51:18,0,0,229,213,2105,55,63,341216,22
125,apache/Oozie,1,2011/7/11,2012/8/28,27,0,2013-04-08 07:14:29,0,0,38,5,2367,624,451,31354,17
126,apache/climate,1,2013/2/15,2014/2/19,527,0,2014-03-08 21:01:56,0,0,1925,101,2241,134,112,35741,24
127,apache/OpenEJB,1,2006/7/5,2007/5/16,0,0,,0,0,0,0,9650,9,26,118294,19
128,apache/OpenJPA,1,2006/4/10,2007/5/16,62,0,2015-07-20 18:37:51,0,0,252,67,5233,94,98,37449,15
129,apache/Openmeetings,1,2011/11/12,2013/1/18,110,0,2016-08-11 15:40:04,0,0,370,430,3376,517,236,80530,13
130,apache/OpenNLP,1,2010/11/23,2012/2/15,379,0,2014-02-23 18:53:53,0,0,735,444,1894,1073,388,14665,36
131,apache/openoffice,1,2011/6/13,2012/10/17,124,0,2016-10-06 09:00:43,0,0,265,43,7610,560,240,2019577,24
132,apache/OpenWebBeans,1,2008/10/26,2009/12/17,38,0,2014-06-04 10:54:06,0,0,88,80,3996,51,48,23475,22
133,apache/OpenWhisk,1,2016/11/23,2019/7/17,3195,0,2016-02-19 19:19:23,0,0,17539,11526,2928,5456,1051,68282,188
134,apache/parquet-cpp,1,2014/5/20,2015/4/22,496,0,2014-10-28 19:15:35,0,0,1812,2481,502,360,184,2700,28
135,apache/PDFBox,1,2008/2/7,2009/10/21,110,0,2012-10-26 13:33:27,0,0,447,12,10446,1532,641,101868,6
136,apache/Phoenix,1,2013/12/11,2014/5/21,1082,0,2014-07-04 10:53:05,0,0,3367,8233,3572,904,922,72471,108
137,apache/Pig,1,2007/10/2,2008/10/22,29,0,2012-02-17 01:10:57,0,0,28,117,3696,638,460,91308,12
138,apache/Pinot,1,2018/10/17,2021/7/21,6482,0,2014-11-10 22:32:53,0,0,11086,28920,8334,3644,783,228986,187
139,apache/Pivot,1,2009/1/26,2009/12/16,0,0,,0,0,0,0,4660,27,26,40601,0
140,apache/PLC4X,1,2017/12/18,2019/4/17,269,0,2018-01-08 16:52:23,0,0,401,558,4412,420,176,134791,47
141,apache/Pluto,1,2003/9/30,2004/5/15,0,0,,0,0,0,0,1921,2,8,14974,7
142,apache/PredictionIO,1,2016/5/26,2017/10/18,407,0,2013-10-24 11:09:37,0,0,905,370,4495,12519,2021,36295,133
143,apache/Pulsar,1,2017/6/1,2018/9/19,8360,0,2016-09-07 18:52:22,0,0,38529,19936,7737,9854,2470,1323281,407
144,apache/Qpid,1,2006/8/27,2008/12/18,9,0,2012-03-29 19:49:57,0,0,26,11,14182,120,85,214977,16
145,apache/Ranger,1,2014/7/24,2017/1/18,38,0,2015-01-08 07:54:01,0,0,162,15,3707,551,570,102045,79
146,apache/creadur-rat,1,2008/1/6,2012/4/18,19,0,2015-06-29 12:53:19,0,0,42,2,1099,11,26,4501,16
147,apache/Ratis,1,2017/1/3,2021/2/17,500,0,2018-05-23 06:29:43,0,0,1186,1268,1200,592,214,7230,52
148,apache/Rave,1,2011/3/1,2012/3/21,23,0,2014-04-24 15:53:22,0,0,61,12,1555,14,13,5901,10
149,apache/REEF,1,2014/8/12,2015/11/18,1496,0,2014-10-23 16:36:08,0,0,9098,12700,3875,94,103,40208,67
150,apache/RocketMQ,1,2016/11/21,2017/9/20,1539,0,2016-12-21 10:23:46,0,0,8521,1808,1844,15827,8790,10774,287
151,apache/Roller,1,2005/6/20,2007/2/21,96,0,2011-03-14 17:37:38,0,0,147,8,4682,102,121,301193,13
