,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor
97,apache/Kylin,1,11/25/2014,11/18/2015,1713,0,2015-01-16 07:22:48,0,0,4348,965,8711,3189,1422,305022,187
98,apache/Lens,1,10/10/2014,8/19/2015,23,0,2014-11-17 11:11:07,0,0,8,43,2449,57,98,18225,38
100,apache/Libcloud,1,11/1/2009,5/19/2011,1475,0,2010-09-09 19:27:49,0,0,5360,2468,8772,1801,904,28310,316
102,apache/Lucene.NET,1,2/5/2011,8/15/2012,400,0,2011-09-02 11:39:48,0,0,1319,394,6373,1689,585,173803,44
103,apache/Lucy,1,7/22/2010,2/22/2012,54,0,2012-09-21 22:17:56,0,0,17,6,3261,93,27,15711,11
104,apache/MADlib,1,9/15/2015,7/19/2017,570,0,2015-11-05 00:54:47,0,0,2109,2156,2953,358,130,19998,50
107,apache/Mesos,1,12/23/2010,6/19/2013,389,0,2013-08-07 20:19:24,0,0,702,422,18143,4805,1706,404191,306
108,apache/MetaModel,1,6/12/2013,11/20/2014,245,0,2014-09-16 20:42:00,0,0,970,832,893,147,142,7220,34
109,apache/Metron,1,12/6/2015,4/19/2017,1558,0,2015-12-09 19:24:18,0,0,8763,5614,1453,832,507,97572,60
110,apache/Mnemonic,1,3/3/2016,11/15/2017,233,0,2016-03-30 05:36:06,0,0,80,59,611,101,59,2991,19
113,apache/mynewt-core,1,10/20/2015,6/21/2017,2507,0,2016-02-17 00:44:47,0,0,3138,2939,10279,679,325,176268,110
114,apache/NetBeans,1,10/1/2016,4/17/2019,3214,0,2017-09-16 17:26:22,0,0,9348,5294,6126,1717,647,345316,170
115,apache/NiFi,1,11/24/2014,7/15/2015,5419,0,2014-12-20 03:49:37,0,0,16135,18131,6860,2865,2140,190504,318
121,apache/olingo-odata4,1,7/8/2013,3/19/2014,40,0,2014-08-08 23:58:16,0,0,59,15,1895,116,155,53661,25
122,apache/phoenix-omid,1,3/28/2016,11/15/2019,82,0,2016-06-03 20:57:08,0,0,53,155,1315,69,43,4810,17
